Symbol,Name,Price,Change,Market_Cap,PE_Ratio,RK
TDG,TransDigm Group Incorporated,"1,277.61",-11.04,71.493B,50.76,91
CTAS,Cintas Corporation,700.26,-11.38,71.05B,48.23,92
ITW,Illinois Tool Works Inc.,236.96,0.97,70.709B,23.37,93
NXPI,NXP Semiconductors N.V.,269.09,4.08,68.802B,24.87,94
BDX,"Becton, Dickinson and Company",233.71,2.77,67.544B,50.04,95
PH,Parker-Hannifin Corporation,505.81,1.59,65.017B,23.76,96
NOC,Northrop Grumman Corporation,435.95,1.04,64.582B,30.4,97
MSI,"Motorola Solutions, Inc.",386.05,-0.35,64.388B,47.6,98
EMR,Emerson Electric Co.,110.16,1.87,63.023B,32.79,99
SPOT,Spotify Technology S.A.,313.79,-1.59,62.461B,N/A,100
VCISF,Vinci SA,108.6,0,62.127B,12.43,101
RSG,"Republic Services, Inc.",194.34,-0.48,61.204B,34.15,102
CNSWF,Constellation Software Inc.,"2,862.00",-18,60.844B,105.03,103
ROP,"Roper Technologies, Inc.",563.66,1.6,60.337B,41.32,104
WDAY,"Workday, Inc.",223.56,0.2,59.331B,39.85,105
MMM,3M Company,102.19,-0.98,56.548B,N/A,106
PCAR,PACCAR Inc,102.94,-1.03,53.955B,10.69,107
ADSK,"Autodesk, Inc.",247.45,3.77,53.328B,53.79,108
NSC,Norfolk Southern Corporation,214.69,4.79,48.501B,34.63,109
SMCI,"Super Micro Computer, Inc.",819.35,-71.01,47.978B,45.6,110
TEL,TE Connectivity Ltd.,150.43,1.72,46.066B,13.71,111
TEAM,Atlassian Corporation,176.88,3.89,46.042B,N/A,112
MRNA,"Moderna, Inc.",118.75,-2.43,45.51B,N/A,113
WCN,"Waste Connections, Inc.",175.36,-0.42,45.246B,57.12,114
SNOW,Snowflake Inc.,135.09,1.17,45.227B,N/A,115
DXCM,"DexCom, Inc.",113.38,-1.16,45.089B,73.62,116
HUM,Humana Inc.,373.65,11.55,45.025B,22.99,117
DASH,"DoorDash, Inc.",108.78,-1.8,44.482B,N/A,118
COR,"Cencora, Inc.",225.3,-2.66,44.368B,24.62,119
GWW,"W.W. Grainger, Inc.",902.24,-1.5,44.33B,24.88,120
URI,"United Rentals, Inc.",646.73,23.69,43.441B,17.55,121
DDOG,"Datadog, Inc.",129.69,1.24,43.381B,381.44,122
CHTR,"Charter Communications, Inc.",298.96,4.85,43.059B,9.68,123
PAYX,"Paychex, Inc.",118.56,0.72,42.677B,25.39,124
LHX,"L3Harris Technologies, Inc.",224.58,1.4,42.598B,36.52,125
DISPF,Disco Corporation,380.5,0,41.228B,79.27,126
HOCPY,HOYA Corporation,117.07,0.61,40.975B,36.47,127
IDXX,"IDEXX Laboratories, Inc.",487.2,-6.76,40.237B,47.16,128
MPWR,"Monolithic Power Systems, Inc.",821.68,12.23,39.993B,98.05,129
WTKWY,Wolters Kluwer N.V.,166.2,-0.55,39.396B,38.12,130
FERG,Ferguson plc,193.65,0.19,39.056B,21.19,131
AME,"AMETEK, Inc.",166.71,0.24,38.588B,29.35,132
IQV,IQVIA Holdings Inc.,211.44,-1.31,38.524B,28.89,133
VRSK,"Verisk Analytics, Inc.",269.55,-1.3,38.458B,49.28,134
ODFL,"Old Dominion Freight Line, Inc.",176.6,2.23,38.373B,31.04,135
LZAGF,Lonza Group AG,529.55,-10.45,38.189B,53.49,136
ADYYF,Adyen N.V.,"1,225.00",0,38.032B,51.11,137
CMI,Cummins Inc.,276.93,-3.56,37.878B,20.33,138
A,"Agilent Technologies, Inc.",129.63,-1.17,37.821B,30.65,139
ASMIY,ASM International NV,758.57,7.25,37.265B,64.45,140
PWR,"Quanta Services, Inc.",254.09,-12.97,37.196B,49.24,141
EA,Electronic Arts Inc.,139.33,-0.19,37.025B,29.77,142
FICO,Fair Isaac Corporation,"1,488.66",11.15,36.786B,78.14,143
IT,"Gartner, Inc.",449.06,4.29,34.861B,44.64,144
CAPMF,Capgemini SE,202.5,0,34.784B,20.23,145
BIIB,Biogen Inc.,231.82,3.1,33.752B,28.94,146
XYL,Xylem Inc.,135.63,-0.76,32.883B,47.09,147
HLAGF,Hapag-Lloyd Aktiengesellschaft,184.29,-0.97,32.391B,22.61,148
ROK,"Rockwell Automation, Inc.",275.28,7.62,31.383B,26.96,149
GRMN,Garmin Ltd.,162.92,0.91,31.293B,22.98,150
MARUY,Marubeni Corporation,186.01,0.91,31.015B,10.7,151
ALNY,"Alnylam Pharmaceuticals, Inc.",243,-4,30.738B,N/A,152
SMECF,SMC Corporation,477.25,2.25,30.608B,27.67,153
CDW,CDW Corporation,223.84,-0.22,30.084B,27.95,154
HUBS,"HubSpot, Inc.",589.79,3.78,30.057B,N/A,155
EFX,Equifax Inc.,242.46,2.65,29.971B,54,156
MTD,Mettler-Toledo International Inc.,"1,397.59",-8.93,29.849B,39.21,157
VEEV,Veeva Systems Inc.,183.01,-2.14,29.584B,53.99,158
ASHTY,Ashtead Group plc,267.86,-1.95,29.221B,18.4,159
ZS,"Zscaler, Inc.",192.19,2.99,29.049B,N/A,160
RMD,ResMed Inc.,191.42,-0.16,28.121B,29.4,161
ANSS,"ANSYS, Inc.",321.5,-0.32,28.067B,64.56,162
WAB,A.P. Møller - Mærsk A/S,158.05,-0.69,27.878B,30.75,163
AMKAF,,"1,705.00",55,27.482B,15.93,164
TTWO,"Take-Two Interactive Software, Inc.",155.49,-1.49,27.211B,N/A,165
HEI-A,HEICO Corporation,177.52,-0.06,27.113B,55.82,166
HEI,HEICO Corporation,223.61,-3.17,27.113B,70.32,167
SHLRF,Schindler Holding AG,254.79,0,26.886B,27.69,168
NTAP,"NetApp, Inc.",128.8,-0.23,26.507B,27.88,169
ARGX,argenx SE,430.04,-14.9,26.429B,N/A,170
RYAAY,Ryanair Holdings plc,116.44,-0.23,26.392B,13.02,171
ICLR,ICON Public Limited Company,313.47,0.25,25.948B,38,172
KSPI,Joint Stock Company Kaspi.kz,129.01,-3.27,25.634B,13.03,173
AMKBF,A.P. Møller - Mærsk A/S,"1,675.00",0,25.626B,15.66,174
DOV,Dover Corporation,180.45,2,24.799B,17.33,175
